en,es,
Work Disability Functional Assessment Battery,Batería de evaluación funcional de discapacidad laboral,Anchor Item
Basic Mobility,Movilidad básica,
Communication & Cognition,Comunicación y cognición,
Community Mobility,Movilidad comunitaria,
Fine Motor Function,Motricidad fina,
Mood & Emotions,Estado de ánimo y emociones,
Resilience & Sociability,Resiliencia y sociabilidad,
Self-Regulation,Autorregulación,
Upper Body Function,Función del tren superior,
Wheelchair,Silla de ruedas,
Are you able figure out the correct price for something that is on sale? For example 25% off.,"¿Puede calcular el precio correcto de algo que está en oferta? Por ejemplo, si tiene un 25 % de descuento.",
Are you able pull a small suitcase by the handle?,¿Puede llevar una maleta pequeña por el asa?,
Are you able to  lift a 2 liter soda bottle from the floor to a high shelf? A 2 liter soda bottle=3.5lbs/1.5kg.,"¿Puede levantar una botella de refresco de 2 litros del piso a un estante alto? Una botella de refresco de 2 litros equivale a 1,5 kg o 3,5 lb.",
Are you able to address an envelope with a pen?,¿Puede poner la dirección en un sobre con un bolígrafo?,
Are you able to adjust to a new situation or change?,¿Puede adaptarse a nuevas situaciones o cambios?,
Are you able to ask for help from others when difficult problems come up?,¿Puede pedir ayuda a otras personas cuando surgen problemas difíciles?,
Are you able to back out of a driveway?,¿Puede retroceder para salir de una entrada de vehículos?,
Are you able to bend down to pick up clothing from the floor?,¿Puede agacharse para recoger ropa del piso?,
Are you able to bend over from a sitting position to pick up an object you dropped on the floor?,"Cuando está sentado, ¿puede agacharse para recoger un objeto que se le ha caído al piso?",
Are you able to bend over to pick up coins that are scattered on the floor?,¿Puede agacharse para recoger monedas esparcidas por el piso?,Physical
Are you able to bend to look under a car?,¿Puede agacharse para mirar debajo de un auto?,Physical
"Are you able to buckle a strap (e.g. on a bicycle helmet, child's car seat, or backpack)?","¿Puede abrochar una correa (por ejemplo, de un casco de bicicleta, una mochila o el asiento para niños de un auto)?",
Are you able to button your shirt?,¿Puede abotonarse la camisa?,
Are you able to carry a full kitchen trash bag outside?,¿Puede llevar afuera una bolsa llena de basura de la cocina?,Physical
Are you able to carry a full large (check-in size) suitcase for 30 feet? Hint: A full large suitcase weighs 40-50 pounds/18-23 kg.,¿Puede transportar una maleta grande (tamaño de equipaje que se despacha) llena 9 metros/30 pies? Ayuda: Una maleta grande llena pesa entre 18 y 23 kg (entre 40 y 50 libras).,
Are you able to carry a full laundry basket for 30 feet?,¿Puede transportar 9 metros/30 pies una cesta llena de ropa para lavar?,Physical
Are you able to carry a full laundry basket up a flight of stairs? Hint: A flight of stairs is 12-15 steps.,¿Puede subir un tramo de escaleras con una cesta llena de ropa para lavar? Ayuda: Un tramo de escaleras tiene entre 12 y 15 escalones.,
Are you able to carry a full paper grocery bag for 30 feet?,¿Puede transportar 9 metros/30 pies una bolsa de compras de papel llena?,
Are you able to carry a full plastic shopping bag for 30 feet?,¿Puede transportar 9 metros/30 pies una bolsa de compras de plástico llena?,
Are you able to carry a full small (carry-on size) suitcase for 30 feet? Hint: A full carry-on suitcase weighs 20 pounds/8 kg.,¿Puede transportar 9 metros/30 pies una maleta pequeña (de mano) llena? Ayuda: Una maleta de mano llena pesa 8 kg/20 libras.,Physical
Are you able to change the bulb in a table lamp?,¿Puede cambiar la bombilla de una lámpara de mesa?,
Are you able to check that your bills are correct?,¿Puede revisar si sus facturas tienen errores?,Mental
Are you able to clean a floor using a mop?,¿Puede limpiar el piso con un trapeador?,
Are you able to clean out a closet?,¿Puede limpiar un armario?,
Are you able to climb 2 or 3 steps up a step ladder?,¿Puede subir 2 o 3 escalones de una escalerilla?,
Are you able to close a twist tie on a bag of bread?,¿Puede cerrar el plastinudo de una bolsa de pan?,Physical
Are you able to close a zip lock bag?,¿Puede cerrar una bolsa tipo Ziploc?,
Are you able to crawl under a table to pick up something you dropped?,¿Puede meterse debajo de una mesa para recoger algo que se le haya caído?,Physical
Are you able to cross the street at a traffic light in your wheelchair?,¿Puede cruzar la calle con su silla de ruedas donde haya un semáforo?,Physical_WC
Are you able to cut a piece of paper with scissors?,¿Puede cortar un trozo de papel con tijeras?,
Are you able to discuss your ideas with others?,¿Puede conversar sobre sus ideas con otras personas?,
"Are you able to do heavy housework? For example scrubbing floors, washing windows, moving furniture to clean.","¿Puede hacer tareas domésticas exigentes? Por ejemplo, fregar pisos, limpiar ventanas, mover muebles para limpiarlos.",
Are you able to do two things at once?,¿Puede hacer dos cosas a la vez?,
Are you able to do yard work (e.g. plant shrubs or a garden) for 2 hours? For example: With occasional rest but continuous work.,"¿Puede hacer trabajos de jardinería (p. ej., plantar arbustos o trabajar en el jardín) durante 2 horas? Por ejemplo: Con descanso ocasional pero trabajo continuo.",
Are you able to do your regular chores?,¿Puede hacer sus quehaceres habituales?,
Are you able to drive at night?,¿Puede conducir de noche?,
Are you able to drive in heavy traffic?,¿Puede conducir cuando hay mucho tránsito?,Physical
Are you able to drive in the rain?,¿Puede conducir cuando llueve?,Physical
Are you able to drive in your own neighborhood?,¿Puede conducir en su propio vecindario?,Physical
Are you able to figure out why a joke is funny?,¿Puede entender por qué un chiste es gracioso?,
Are you able to fill out applications?,¿Puede llenar formularios de solicitud?,
Are you able to find your way around in familiar places?,¿Puede orientarse en lugares conocidos?,
Are you able to find your way around in unfamiliar places?,¿Puede orientarse en lugares desconocidos?,
Are you able to finish things that you start?,¿Puede terminar las cosas que empezó a hacer?,
Are you able to finish things within a reasonable amount of time?,¿Puede terminar las cosas en un tiempo razonable?,
Are you able to fold several loads of laundry?,¿Puedes doblar varias cargas de ropa lavada?,
Are you able to follow instructions given over the phone?,¿Puede seguir instrucciones que le den por teléfono?,Mental
"Are you able to follow public signs? For example STOP, DO NOT ENTER, EXIT.","¿Puede seguir los letreros públicos? Por ejemplo, PARE, PROHIBIDO INGRESAR, SALIDA.",
Are you able to get a ride to where you need to go?,¿Puede conseguir que lo/a lleven adonde necesita ir?,
Are you able to get down on the floor? For example: Moving from standing or your wheelchair to kneel or sit on the floor,¿Puede ponerse en el piso? Por ejemplo: Pasar de estar de pie o en silla de ruedas a arrodillarse o sentarse en el piso,
Are you able to get in and out of a car from your wheelchair? Please consider a sedan sized car when considering your answer.,"¿Puede subir a un vehículo desde su silla de ruedas y bajar de un vehículo a su silla de ruedas? Cuando piense su respuesta, suponga que el vehículo tiene el tamaño de un auto tipo sedán.",Physical_WC
Are you able to get in and out of a squatting position?  Please base your response on the most difficult part of the activity.,¿Puede ponerse en cuclillas y levantarse desde la posición de cuclillas? Base su respuesta en la parte más difícil de la actividad.,Physical
Are you able to get in and out of bed? Hint: Base response on the most difficult part of the activity.,¿Puede acostarse y levantarse de la cama? Ayuda: Base su respuesta en la parte más difícil de la actividad.,
Are you able to get in and out of the bathtub?,¿Puede entrar y salir de la bañera?,
Are you able to get in and out of your wheelchair? Please base your response on the most difficult part of this activity.,¿Puede sentarse en su silla de ruedas y salir de ella? Base su respuesta en la parte más difícil de la actividad.,Physical_WC
Are you able to get information you need when talking with people?,¿Puede obtener la información que necesita cuando habla con gente?,
Are you able to get into and out of a car? Please base your response on the most difficult part of this activity.,¿Puede entrar y salir de un auto? Base su respuesta en la parte más difícil de la actividad.,
Are you able to get into and out of a kneeling position? Please base your response on the most difficult part of the activity.,¿Puede arrodillarse y levantarse desde esa posición? Base su respuesta en la parte más difícil de la actividad.,Physical
"Are you able to get into and out of a truck, bus, shuttle van, or sport utility vehicle from your wheelchair?","¿Puede subir desde su silla de ruedas a un camión, autobús, furgoneta o vehículo utilitario deportivo y bajar de esos vehículos a su silla de ruedas?",Physical_WC
"Are you able to get moving after you've been lying down on a couch? For example: Get to the sitting position, then walk or use your wheelchair.",¿Puede volver a moverse después de haber estado acostado/a en un sofá? Por ejemplo: Sentarse y luego caminar o usar la silla de ruedas.,
Are you able to get off the bus or train before the doors close?,¿Puede bajarse del autobús o del tren antes de que las puertas se cierren?,
Are you able to get on the right bus or train?,¿Puede tomar el autobús o tren correctos?,Physical
Are you able to get on to a bus or train?,¿Puede subirse a un autobús o a un tren?,Physical
Are you able to get to places on time?,¿Puede llegar a sus destinos a tiempo?,
Are you able to get up off the floor from lying on your back? You can use a chair or other object to get up.,¿Puede levantarse del piso estando acostado/a boca arriba? Puede utilizar una silla u otro objeto para levantarse.,
Are you able to get where you need to go each day?,¿Puede llegar adonde necesita ir cada día?,
Are you able to get your point across when speaking with other people?,¿Puede comunicar lo que quiere decir cuando habla con otras personas?,
Are you able to get your point across when you are upset?,¿Puede comunicar lo que quiere decir cuando está molesto/a?,
Are you able to give directions to another person?,¿Puede dar indicaciones a otra persona?,
Are you able to go down one flight of stairs using a handrail? A flight of stairs is 12-15 steps.,¿Puede bajar un tramo de escaleras si se sujeta de una barandilla? Un tramo de escaleras tiene entre 12 y 15 escalones.,
Are you able to go up one flight of stairs using a handrail? Hint: A flight of stairs is 12-15 steps.,¿Puede subir un tramo de escaleras si se sujeta de una barandilla? Ayuda: Un tramo de escaleras tiene entre 12 y 15 escalones.,
Are you able to go up three flights of stairs using a handrail? Hint: A flight of stairs is 12-15 steps.,¿Puede subir tres tramos de escaleras si se sujeta de una barandilla? Ayuda: Un tramo de escaleras tiene entre 12 y 15 escalones.,
Are you able to hang a shower curtain without taking a break?,¿Puede colgar una cortina de baño sin tomarse un descanso?,
Are you able to hear people over the phone?,¿Puede oír a las personas por teléfono?,
Are you able to hold a book while reading?,¿Puede sostener un libro mientras lee?,
Are you able to hold a full glass of water in one hand?,¿Puede sostener con una mano un vaso lleno de agua?,
Are you able to hold an umbrella?,¿Puede sostener un paraguas?,
Are you able to insert a plug into an electric outlet?,¿Puede insertar un enchufe en un tomacorriente?,
"Are you able to keep important papers organized? For example bills, insurance documents and tax forms.","¿Puede mantener organizados documentos importantes? Por ejemplo, facturas, documentos de seguros y formularios de impuestos.",
Are you able to keep track of the day of the week?,¿Está al tanto de qué día de la semana es?,
Are you able to keep track of what you need to do each day?,¿Sabe qué tiene que hacer cada día?,Mental
Are you able to keep your medical appointments?,¿Puede asistir a sus citas médicas?,
Are you able to keep yourself safe at home?,¿Puede mantenerse fuera de peligro en casa?,
Are you able to kick a ball?,¿Puede patear un balón?,
Are you able to kneel down to tie a shoe?,¿Puede arrodillarse para atarse los cordones de un zapato?,
Are you able to kneel on the floor for a long time? For example when cleaning the bathtub or playing with kids or pet.,"¿Puede estar de rodillas en el piso durante mucho tiempo? Por ejemplo, al limpiar la bañera o jugar con niños o mascotas.",
Are you able to learn to do new things?,¿Puede aprender a hacer cosas nuevas?,
Are you able to lift a 12 pack of soda cans from a grocery shelf to a grocery cart?,¿Puede mover un paquete de 12 latas de refresco de un estante de supermercado a un carro de compras?,
Are you able to lift a full 2 liter soda bottle from table height to a high shelf?  A 2 liter soda bottle= 3.5 lbs/1.5 kg.,"¿Puede levantar una botella de refresco de 2 litros llena desde la altura de una mesa hasta un estante alto? Una botella de refresco de 2 litros equivale a 1,5 kg o 3,5 lb.",
Are you able to lift a full large (check-in size) suitcase from table height to a high shelf? Hint: A full large suitcase weighs 40-50 pounds/18-23 kg.,¿Puede levantar una maleta grande (tamaño de equipaje que se despacha) llena desde la altura de una mesa hasta un estante alto? Ayuda: Una maleta grande llena pesa entre 18 y 23 kg (entre 40 y 50 libras).,
Are you able to lift a full large (check-in size) suitcase from the floor to table height? Hint: A full large suitcase weighs 40-50 pounds/18-23 kg.,¿Puede levantar una maleta grande (tamaño de equipaje que se despacha) llena desde el piso hasta la altura de una mesa? Ayuda: Una maleta grande llena pesa entre 18 y 23 kg (entre 40 y 50 libras).,
Are you able to lift a full small (carry-on size) suitcase from table height to a high shelf? Hint: A full carry-on suitcase weighs 20 pounds/8 kg.,¿Puede levantar una maleta pequeña (de mano) llena desde la altura de una mesa hasta un estante alto? Ayuda: Una maleta de mano llena pesa 8 kg/20 libras.,
Are you able to lift a full small (carry-on size) suitcase from the floor to table height? Hint: A full carry-on suitcase weighs 20 pounds/8 kg.,¿Puede levantar una maleta pequeña (de mano) llena desde el piso hasta la altura de una mesa? Ayuda: Una maleta de mano llena pesa 8 kg/20 libras.,Physical
Are you able to lift a heavy box from the floor to table height?,¿Puede levantar una caja pesada desde el piso hasta la altura de una mesa?,
Are you able to lift a package weighing 10 lbs?,"¿Puede levantar un paquete de 4,5 kg/10 libras?",
Are you able to lift something weighing 100 pounds? (for example a large dog),"¿Puedes levantar algo que pese 45 kg/100 libras? (Por ejemplo, un perro grande)",
Are you able to make a bed?,¿Puedes hacer la cama?,
Are you able to make an appointment over the phone? For example a haircut or dentist.,"¿Puede pedir una cita por teléfono? Por ejemplo, para la peluquería o el dentista.",
"Are you able to make everyday decisions? For example what to wear, what to eat or what time to get up.","¿Puede tomar decisiones de la vida diaria? Por ejemplo, qué ropa usar, qué comer o a qué hora levantarse.",Mental
Are you able to make small talk?,¿Puede mantener una conversación superficial?,
Are you able to manage your time each day?,¿Puede administrar su tiempo todos los días?,
Are you able to merge onto a busy road?,"Al conducir, ¿puede incorporarse a una calle con mucho tránsito?",Physical
Are you able to mop your kitchen floor?,¿Puede limpiar el piso de la cocina con el trapeador?,
Are you able to move a sofa to clean under it?,¿Puede mover un sofá para limpiar debajo de él?,
"Are you able to move around in the bathroom, including getting on and off the toilet from your wheelchair?","¿Puede moverse en el baño, por ejemplo, para pasar de la silla de ruedas al inodoro y viceversa?",Physical_WC
Are you able to move around on your hands and knees in a crawling position?,"¿Puede andar a gatas, con las manos y las rodillas?",
Are you able to move around one floor of your home in your wheelchair without bumping into things?,¿Puede moverse con la silla de ruedas por un piso de su casa sin chocar contra nada?,Physical_WC
Are you able to move from lying on your back to sitting on the edge of your bed?,¿Puede pasar de estar acostado/a boca arriba a sentarse en el borde de la cama?,
Are you able to move your wheelchair for at least 15 minutes?,¿Puede trasladarse con la silla de ruedas durante al menos 15 minutos?,Physical_WC
Are you able to move your wheelchair up and down curbs? Please base your response on the most difficult part of this activity.,Puede subir y bajar el bordillo de la acera con la silla de ruedas? Base su respuesta en la parte más difícil de la actividad.,Physical_WC
Are you able to open a can with a hand can opener?,¿Puede abrir latas con un abrelatas manual?,
Are you able to open previously opened jars?,¿Puede abrir frascos que se hayan abierto antes?,
Are you able to organize what you want to say?,¿Puede organizar lo que quiere decir?,Mental
Are you able to paint the ceiling of a large room?,¿Puede pintar el techo interior de una habitación grande?,
Are you able to paint walls for 30 minutes without taking a break?,¿Puede pintar paredes durante 30 minutos sin tomarse un descanso?,Physical
Are you able to park your car in a parking lot?,¿Puede estacionar su auto en un estacionamiento?,Physical
Are you able to pay attention for a long period of time?,¿Puede prestar atención durante mucho tiempo?,
Are you able to pay attention when someone is talking to you for a long time?,¿Puede prestar atención cuando alguien le habla durante mucho tiempo?,Mental
Are you able to pay attention when someone is talking to you for a short time?,¿Puede prestar atención cuando alguien le habla durante poco tiempo?,Mental
Are you able to peel 15 potatoes?,¿Puede pelar 15 papas?,
Are you able to peel an orange?,¿Puede pelar una naranja?,
Are you able to peel the sticker off something you bought?,¿Puede despegar la calcomanía de un producto que haya comprado?,
Are you able to pick out a paper clip from group of clips?,¿Puede agarrar un solo clip de un conjunto de clips?,
Are you able to pick out one key from group of keys?,¿Puede agarrar una sola llave de un conjunto de llaves?,
"Are you able to pick up a kitchen chair and move it, in order to clean?",¿Puede levantar una silla de la cocina y moverla para limpiar?,
Are you able to pick up and put down a pen or pencil?,¿Puede levantar y dejar un bolígrafo o un lápiz?,Physical
Are you able to pick up coins from a table top?,¿Puede levantar monedas de una mesa?,
"Are you able to pull a cord on a lawn mower, chain saw, generator or boat motor?","¿Puede tirar de una cuerda para poner en marcha una cortadora de césped, una motosierra, un generador o el motor de un bote?",
Are you able to pull a pillow case off a pillow?,¿Puede quitar la funda de una almohada?,
Are you able to pull open a dresser drawer?,¿Puede abrir un cajón de una cómoda?,
Are you able to pull open a heavy door?,¿Puede tirar de una puerta pesada para abrirla?,
Are you able to push a full grocery cart?,¿Puede empujar un carro de compras lleno?,
Are you able to push a full wheelbarrow?,¿Puede empujar una carretilla llena?,
Are you able to push a vacuum?,¿Puede utilizar una aspiradora?,
Are you able to push open a heavy door?,¿Puede empujar una puerta pesada para abrirla?,
Are you able to push the correct buttons on a remote control?,¿Puede presionar los botones correctos de un control remoto?,
"Are you able to put batteries in a flashlight, or remote control for your television?",¿Puede poner pilas en una linterna o en el control remoto de su televisor?,Physical
Are you able to put coins into a slot? For example a vending machine.,"¿Puede insertar monedas en una ranura? Por ejemplo, de una máquina expendedora.",
Are you able to put on a watch or bracelet?,¿Puede ponerse un reloj o una pulsera?,
Are you able to reach behind you to get your seatbelt? Hint: A shoulder harness seatbelt.,"¿Puede tomar el cinturón de seguridad si está detrás de usted? Ayuda: Un cinturón de seguridad de tres puntos, que pasa sobre el hombro.",
Are you able to reach into a cabinet from a step ladder or stool?,¿Puede alcanzar el interior de un armario desde una escalerilla o un banco?,
Are you able to reach into a low cupboard?,¿Puede alcanzar el interior de un armario bajo?,
Are you able to reach overhead into a high cabinet?,"¿Puede alcanzar el interior de un armario alto, que esté por encima de la altura de su cabeza?",
Are you able to recall information that you have always known?,¿Puede recordar información que siempre haya sabido?,
Are you able to remain on your feet for 2 hours with short breaks?,¿Puede permanecer de pie durante 2 horas con descansos breves?,
Are you able to remain on your feet for 6 hours with short breaks?,¿Puede permanecer de pie durante 6 horas con descansos breves?,
Are you able to remain on your feet for at least 20 minutes using your walking aid?,¿Puede permanecer de pie durante al menos 20 minutos con su dispositivo de asistencia para caminar?,
Are you able to remain on your feet for at least 20 minutes?,¿Puede permanecer de pie durante al menos 20 minutos?,
Are you able to remember a list of 4 or 5 errands without writing it down?,¿Puede recordar una lista de 4 o 5 mandados sin escribirla?,
Are you able to remember important numbers? For example a phone number.,"¿Puede recordar números importantes? Por ejemplo, un número de teléfono.",
Are you able to remember something you read or heard earlier in the day?,¿Puede recordar algo que haya oído o leído antes ese mismo día?,
Are you able to remember the name of people you know when you see them?,¿Puede recordar el nombre de personas que conoce cuando las ve?,
Are you able to remember things for a short time?,¿Puede recordar cosas durante poco tiempo?,
Are you able to remove a dollar bill from your wallet?,¿Puede sacar un billete de un dólar de su billetera?,
Are you able to remove a gas cap from a car?,¿Puede quitar la tapa del tanque de combustible de un auto?,
Are you able to remove something from your back pocket?,¿Puede sacar algo de su bolsillo de atrás?,
Are you able to remove wrappings from small objects? For example: Like removing the packaging from a pack of batteries.,¿Puede quitar los envoltorios de objetos pequeños? Por ejemplo: Quitar el envoltorio de un paquete de pilas.,
"Are you able to run a short distance, such as to catch a bus? A short distance is roughly half a block or about 15-20 yards.","¿Puede correr una distancia corta, por ejemplo, para alcanzar el autobús? Una distancia corta es alrededor de media cuadra o 13-18 metros (15-20 yardas).",
Are you able to run fast for 2 minutes?,¿Puede correr rápido durante 2 minutos?,
Are you able to sew on a button?,¿Puede coser un botón?,
Are you able to sit in a car for more than 2 hours?,¿Puede permanecer sentado/a en un auto durante más de 2 horas?,
Are you able to speak clearly?,¿Puede hablar con claridad?,
Are you able to stand in the shower to wash your hair?,¿Puede mantenerse de pie en la ducha para lavarse el cabello?,
Are you able to stand on your feet for one hour?,¿Puede permanecer de pie durante una hora?,
"Are you able to stand up from an armless, straight chair? Hint: Without holding on to anything.",¿Puede levantarse de una silla recta sin apoyabrazos? Ayuda: Sin aferrarse a nada.,
Are you able to staple 2 sheets of paper together?,¿Puede engrapar dos hojas de papel?,
Are you able to stay organized?,¿Puede mantenerse organizado/a?,
Are you able to stay within your lane while driving?,¿Puede mantenerse en su carril cuando conduce?,Physical
Are you able to take your medications correctly?,¿Puede tomar sus medicamentos como corresponde?,
Are you able to talk to people over the phone?,¿Puede mantener una conversación por teléfono?,
Are you able to tell a doctor about a health problem?,¿Puede comunicarle a un doctor que tiene un problema de salud?,
Are you able to tell others your needs? For example when you're tired and need to rest.,"¿Puede comunicarles a otras personas lo que necesita? Por ejemplo, cuando siente cansancio y necesita descansar.",
Are you able to think quickly?,¿Puede pensar rápido?,Mental
Are you able to think things through before making a decision?,¿Puede pensar bien las cosas antes de tomar una decisión?,Mental
Are you able to tie a knot?,¿Puede hacer un nudo?,
Are you able to tighten screws by hand with a screwdriver?,¿Puede ajustar tornillos a mano con un destornillador?,
Are you able to to bend down to use a dust pan?,¿Puede agacharse para usar un recogedor o pala de mano?,
"Are you able to to stand up from a low, soft couch?  Without holding on to anything.","¿Puede levantarse de un sofá bajo y blando, y ponerse de pie? Sin aferrarse a nada.",
Are you able to trim a tree with a long handle saw?,¿Puede podar un árbol con una sierra de mano larga?,
Are you able to turn a dial? For example on a stove.,"¿Puede girar una perilla? Por ejemplo, de una cocina o estufa.",
Are you able to turn a door knob?,¿Puede girar el pomo de una puerta?,Physical
Are you able to turn a key in a door lock?,¿Puede hacer girar una llave en una cerradura?,Physical
Are you able to turn faucets on and off?,¿Puede abrir y cerrar grifos?,
Are you able to type on a computer keyboard?,¿Puede escribir en el teclado de una computadora?,
Are you able to understand body language and facial expressions when talking to people?,¿Puede entender lenguaje corporal y expresiones faciales cuando habla con la gente?,
Are you able to understand people in noisy places?,¿Puede entender a la gente en lugares ruidosos?,
Are you able to understand people on the phone?,¿Puede entender a la gente cuando habla por teléfono?,
Are you able to understand what you hear on television?,¿Puede entender lo que escucha en la televisión?,
Are you able to understand written instructions?,¿Puede entender instrucciones escritas?,
Are you able to unload a full grocery cart into a car?,¿Puede cargar en un auto el contenido de un carro de compras lleno?,Physical
Are you able to unload the dishwasher?,¿Puede descargar el lavavajillas?,
Are you able to use a bus or train schedule to get to familiar places?,¿Puede usar un horario de autobús o tren para llegar a lugares conocidos?,Physical
Are you able to use a bus or train schedule to get to unfamiliar places?,¿Puede usar un horario de autobús o tren para llegar a lugares desconocidos?,
Are you able to use a chip clip to close a bag?,¿Puede usar un broche para cerrar una bolsa?,
Are you able to use a computer for more than 2 hours?,¿Puede usar una computadora durante más de 2 horas?,
Are you able to use a computer to get in touch with someone?,¿Puede usar una computadora para ponerse en contacto con alguien?,
Are you able to use a computer to get information you need?,¿Puede usar una computadora para buscar información que necesita?,
Are you able to use a hammer to pound a nail?,¿Puede usar un martillo para clavar un clavo?,
Are you able to use a lever handle to open a door? Hint: A lever handle is a handle that you push down to open a door.,¿Puede abrir una puerta con picaporte? Ayuda: Un picaporte es una manija que se empuja hacia abajo para abrir la puerta.,
Are you able to use bank cards and automatic teller machines (ATMs)?,¿Puede usar tarjetas bancarias y cajeros automáticos?,
Are you able to use the break pedal in a car?,¿Puede usar el pedal de freno de un auto?,
Are you able to use the trigger on a spray bottle?,¿Puede usar el gatillo de un rociador?,
Are you able to use tweezers?,¿Puede utilizar pinzas/tenacillas?,
Are you able to use your finger to select options on a touch screen? (for example a cellphone or tablet),"¿Puede usar el dedo para seleccionar opciones en una pantalla táctil? (Por ejemplo, en un teléfono celular o una tableta electrónica)",
Are you able to vacuum for 30 minutes without a break?,¿Puede usar la aspiradora durante 30 minutos sin tomarse un descanso?,
Are you able to wait your turn to speak?,¿Puede esperar su turno para hablar?,
Are you able to walk a mile without resting?,¿Puede caminar un kilómetro y medio / una milla sin tomarse un descanso?,
Are you able to walk around one floor of your home without tripping or losing your balance?,¿Puede caminar por un piso de su casa sin tropezarse ni perder el equilibrio?,
Are you able to walk at least 15 minutes?,¿Puede caminar al menos 15 minutos?,
Are you able to walk from store to store while shopping ? For example in a shopping mall.,"¿Puede caminar de tienda en tienda cuando está de compras? Por ejemplo, en un centro comercial.",
Are you able to walk in and out of stores carrying heavy bags without losing your balance?,¿Puede entrar y salir de las tiendas con bolsas pesadas sin perder el equilibrio?,
"Are you able to walk on uneven surfaces (e.g. grass, dirt road or sidewalk) using your walking aid?","¿Puede caminar sobre superficies irregulares (p. ej., césped, caminos de tierra o aceras) con su dispositivo de asistencia para caminar?",
"Are you able to walk on uneven surfaces? For example on grass, dirt road or sidewalk.","¿Puede caminar sobre superficies irregulares? Por ejemplo, en césped, caminos de tierra o aceras.",
Are you able to walk quickly indoors? For example to answer the telephone or the front door.,"¿Puede caminar rápido en interiores? Por ejemplo, para atender el teléfono o abrir la puerta.",
Are you able to walk the aisles of a grocery store using a shopping cart?,¿Puede caminar por los pasillos de una tienda de comestibles con un carro de compras?,
Are you able to walk to the bathoom?,¿Puede ir caminando al baño?,
Are you able to walk up a flight of stairs without a handrail?,¿Puede subir un tramo de escaleras sin barandilla?,
Are you able to walk up a steep slope (e.g. on a hill) using your walking aid?,"¿Puede subir una pendiente pronunciada (p. ej., una colina) con su dispositivo de asistencia para caminar?",
Are you able to walk up a steep slope? For example on a hill.,"¿Puede subir una pendiente pronunciada? Por ejemplo, una colina.",
Are you able to work at floor level? For example changing the face plate on an electric outlet.,"¿Puede trabajar a nivel del piso? Por ejemplo, cambiar la cubierta de un tomacorriente.",
Are you able to work hard on tasks you don't like?,¿Puede trabajar con dedicación en tareas que no le gustan?,
Are you able to work overhead for 20 minutes (e.g. organizing a high shelf in a closet)?,"¿Puede realizar tareas por encima de la altura de su cabeza durante 20 minutos (p. ej., organizar un estante alto de un armario)?",
Are you able to write a short email to someone?,¿Puede escribirle un mensaje de correo electrónico corto a alguien?,
Are you able to write for 20 minutes?,¿Puede escribir durante 20 minutos?,
Are you able to write reminder notes to yourself?,¿Puede escribirse notas de recordatorio a sí mismo/a?,
Are you able to write your signature?,¿Puede firmar?,
How fast are you able to walk?,¿Qué tan rápido puede caminar?,
How long are you able to kneel?,¿Cuánto tiempo puede estar de rodillas?,
How long are you able to sit with short breaks?,¿Cuánto tiempo puede permanecer sentado/a con pequeños descansos?,
How long are you able to squat?,¿Cuánto tiempo puede estar en cuclillas?,
How long are you able to use a computer keyboard?,¿Cuánto tiempo puede usar el teclado de una computadora?,
How long are you able to use a computer mouse?,¿Cuánto tiempo puede usar el ratón de una computadora?,
How long are you able to walk without stopping? If you cannot walk without stopping for 15 minutes please select unable.,"¿Cuánto tiempo puede caminar sin detenerse? Si no puede caminar durante 15 minutos sin detenerse, seleccione “No puedo”.",
"In the past 7 days, I avoided public places or activities.","En los últimos 7 días, evité ir a lugares públicos o hacer actividades en público.",
